t,ap,cp,v
1738596118,677.03,679.45,781
1738596176,677.03,679.45,781
1738596239,677.03,679.45,781
1738596299,677.04,680.55,782
1738596349,677.04,680.55,782
1738596419,677.04,680.55,782
1738596474,677.04,680.55,782
1738596519,677.04,680.25,784
1738596595,677.04,680.25,784
1738596603,677.04,680.25,784
1738596675,677.04,680.25,784
1738597200,677.04,680.25,784
1738598400,677.04,680.25,784
1738598482,677.04,680.25,784
1738574398,680.13,680.30,8
1738574459,679.54,677.95,11
1738574516,679.54,677.95,11
1738574579,679.54,677.95,11
1738574636,679.54,677.95,11
1738574696,676.51,674.15,24
1738574759,676.06,678.05,79
1738574819,676.21,680.85,82
1738574876,676.27,681.40,83
1738574938,676.48,679.80,88
1738574993,676.48,679.80,88
1738575058,676.53,680.75,89
1738575116,676.65,679.70,92
1738575171,676.93,679.80,102
1738575227,677.00,678.85,106
1738575296,677.01,676.95,115
1738575359,677.02,678.15,116
1738575419,677.02,677.20,118
1738575479,675.58,675.00,418
1738575536,675.58,675.00,418
1738575598,675.58,675.00,418
1738575659,675.68,678.55,435
1738575719,675.84,679.15,457
1738575778,675.84,679.15,457
1738575834,675.84,679.15,457
1738575899,675.84,679.15,457
1738575959,675.84,679.25,458
1738576010,675.84,679.25,458
1738576079,675.84,679.25,458
1738576139,675.84,679.25,458
1738576199,675.84,679.25,458
1738576258,675.84,679.25,458
1738576314,676.19,680.95,492
1738576376,676.21,680.55,495
1738576437,676.21,680.55,495
1738576497,676.21,680.55,495
1738576557,676.21,680.55,495
1738576619,676.21,680.55,495
1738576671,676.21,680.55,495
1738576731,676.24,678.85,499
1738576797,676.24,678.85,499
1738576857,676.24,678.85,499
1738576919,676.33,679.80,512
1738576948,676.33,679.80,512
1738577036,676.33,679.80,512
1738577097,676.33,679.80,512
1738577159,676.33,679.80,512
1738577216,676.33,679.80,512
1738577277,676.44,680.35,528
1738577337,676.46,679.10,531
1738577394,676.46,677.75,533
1738577459,676.46,677.75,533
1738577519,676.46,678.10,534
1738577579,676.46,678.10,534
1738577639,676.46,678.10,534
1738577698,676.46,678.10,534
1738577759,676.47,677.80,536
1738577819,676.47,677.80,536
1738577878,676.47,677.80,536
1738577935,676.47,677.80,536
1738577999,676.55,678.95,556
1738578059,676.55,678.95,556
1738578118,676.55,678.95,556
1738578177,676.55,678.95,556
1738578238,676.55,678.95,556
1738578297,676.55,678.95,556
1738578359,676.55,678.95,556
1738578419,676.55,678.95,556
1738578479,676.56,677.95,561
1738578538,676.56,677.95,561
1738578598,676.56,677.95,561
1738578658,676.56,677.95,561
1738578718,676.56,677.95,561
1738578778,676.56,676.05,564
1738578838,676.56,676.05,564
1738578898,676.56,676.05,564
1738578959,676.56,677.50,565
1738579018,676.56,677.50,565
1738579079,676.56,677.50,565
1738579139,676.56,677.50,565
1738579199,676.56,677.50,565
1738579259,676.56,677.50,565
1738579315,676.56,677.50,565
1738579379,676.56,677.50,565
1738579404,676.56,677.50,565
1738579499,676.56,677.50,565
1738579557,676.56,677.50,565
1738579618,676.56,677.50,565
1738579678,676.56,677.50,565
1738579735,676.56,677.50,565
1738579796,676.56,677.50,565
1738579855,676.56,677.50,565
1738579916,676.56,677.50,565
1738579977,676.56,677.50,565
1738580037,676.56,677.50,565
1738580099,676.56,677.50,565
1738580159,676.56,677.50,565
1738580219,676.56,677.50,565
1738580270,676.56,677.50,565
1738580334,676.56,677.50,565
1738580398,676.77,679.05,615
1738580457,676.77,679.05,615
1738580517,676.77,679.05,615
1738580577,676.77,679.05,615
1738580609,676.77,679.05,615
1738580698,676.77,679.05,615
1738580758,676.77,679.05,615
1738580816,676.77,679.05,615
1738580877,676.77,679.05,615
1738580939,676.77,679.05,615
1738580999,676.77,679.05,615
1738581025,676.77,679.05,615
1738581112,676.77,679.05,615
1738581155,676.77,679.05,615
1738581231,676.77,679.05,615
1738581342,676.77,679.05,615
1738581411,676.77,679.05,615
1738581475,676.77,679.05,615
1738581538,676.77,679.05,615
1738581595,676.77,679.05,615
1738581654,676.77,679.05,615
1738581719,676.77,679.05,615
1738581773,676.77,679.05,615
1738581828,676.77,679.05,615
1738581890,676.77,679.05,615
1738581957,676.77,679.05,615
1738582019,676.77,679.05,615
1738582079,676.77,679.05,615
1738582139,676.77,679.05,615
1738582192,676.77,679.05,615
1738582259,676.77,679.05,615
1738582313,676.77,679.05,615
1738582378,676.77,679.05,615
1738582417,676.77,679.05,615
1738582483,676.77,679.05,615
1738582559,676.77,679.05,615
1738582617,676.77,679.05,615
1738582672,676.77,679.05,615
1738582739,676.77,679.05,615
1738582786,676.77,679.05,615
1738582854,676.77,679.05,615
1738582909,676.77,679.05,615
1738582977,676.77,679.05,615
1738583027,676.77,679.05,615
1738583087,676.77,679.05,615
1738583158,676.77,679.05,615
1738583216,676.77,679.05,615
1738583279,676.77,679.05,615
1738583339,676.77,679.05,615
1738583397,676.77,679.05,615
1738583457,676.77,679.05,615
1738583518,676.77,679.05,615
1738583579,676.77,679.05,615
1738583614,676.77,679.05,615
1738583680,676.77,679.05,615
1738583747,676.77,679.05,615
1738583818,676.77,679.05,615
1738583865,676.77,679.05,615
1738583938,676.77,679.05,615
1738583999,676.77,679.05,615
1738584056,676.77,679.05,615
1738584119,676.77,679.05,615
1738584179,676.77,679.05,615
1738584222,676.77,679.05,615
1738584298,676.77,679.05,615
1738584354,676.77,679.05,615
1738584410,676.77,679.05,615
1738584459,676.77,679.05,615
1738584539,676.77,679.05,615
1738584587,676.77,679.05,615
1738584642,676.77,679.05,615
1738584717,676.77,679.05,615
1738584778,676.77,679.05,615
1738584831,676.77,679.05,615
1738584899,676.77,679.05,615
1738584940,676.77,679.05,615
1738585019,676.77,679.05,615
1738585076,676.77,679.05,615
1738585136,676.77,679.05,615
1738585199,676.87,678.05,665
1738585256,676.87,678.05,665
1738585305,676.87,678.05,665
1738585378,676.87,678.05,665
1738585438,676.87,678.05,665
1738585498,676.87,678.05,665
1738585558,676.87,678.05,665
1738585613,676.87,678.05,665
1738585677,676.87,678.05,665
1738585739,676.86,676.05,672
1738585780,676.86,676.05,672
1738585859,676.86,676.05,672
1738585919,676.86,676.05,672
1738585977,676.86,676.05,672
1738586031,676.86,676.05,672
1738586096,676.86,676.05,672
1738586158,676.78,674.35,695
1738586218,676.78,674.35,695
1738586279,676.78,674.35,695
1738586337,676.78,674.35,695
1738586385,676.78,674.35,695
1738586443,676.78,674.35,695
1738586511,676.78,674.35,695
1738586579,676.78,674.35,695
1738586639,676.78,674.35,695
1738586697,676.78,674.35,695
1738586758,676.78,674.35,695
1738586818,676.78,674.35,695
1738586878,676.78,674.35,695
1738586938,676.76,674.00,700
1738586996,676.76,674.00,700
1738587052,676.76,674.00,700
1738587119,676.76,674.00,700
1738587179,676.76,674.00,700
1738587239,676.76,674.00,700
1738587298,676.76,674.00,700
1738587359,676.76,674.00,700
1738587417,676.76,674.00,700
1738587479,676.76,674.00,700
1738587538,676.76,674.00,700
1738587598,676.76,674.00,700
1738587659,676.76,674.00,700
1738587718,676.76,674.00,700
1738587779,676.76,674.00,700
1738587839,676.76,674.00,700
1738587899,676.76,674.00,700
1738587958,676.76,674.00,700
1738588019,676.76,674.00,700
1738588079,676.76,674.00,700
1738588136,676.76,674.00,700
1738588199,676.76,674.00,700
1738588251,676.76,674.00,700
1738588296,676.76,674.00,700
1738588378,676.76,674.00,700
1738588390,676.76,674.00,700
1738588467,676.76,674.00,700
1738588551,676.76,674.00,700
1738588617,676.76,674.00,700
1738588675,676.76,674.00,700
1738588739,676.76,674.00,700
1738588798,676.76,674.00,700
1738588828,676.76,674.00,700
1738588919,676.76,674.00,700
1738588979,676.76,674.00,700
1738589032,676.76,674.00,700
1738589088,676.76,674.00,700
1738589135,676.76,674.00,700
1738589216,676.76,674.00,700
1738589269,676.76,674.00,700
1738589328,676.76,674.00,700
1738589399,676.76,674.00,700
1738589453,676.76,674.00,700
1738589508,676.76,674.00,700
1738589579,676.76,674.00,700
1738589637,676.76,674.00,700
1738589676,676.76,674.00,700
1738589737,676.76,674.00,700
1738589816,676.76,674.00,700
1738589846,676.76,674.00,700
1738589902,676.76,674.00,700
1738589978,676.76,674.00,700
1738590058,676.76,674.00,700
1738590119,676.76,674.00,700
1738590175,676.76,674.00,700
1738590227,676.76,674.00,700
1738590299,676.76,674.00,700
1738590330,676.76,674.00,700
1738590410,676.76,674.00,700
1738590479,676.76,674.00,700
1738590531,676.76,674.00,700
1738590597,676.76,674.00,700
1738590658,676.76,674.00,700
1738590707,676.76,674.00,700
1738590778,676.76,674.00,700
1738590839,676.76,674.00,700
1738590899,676.76,674.00,700
1738590939,676.76,674.00,700
1738590980,676.76,674.00,700
1738591065,676.76,674.00,700
1738591111,676.76,674.00,700
1738591199,676.76,674.00,700
1738591250,676.76,674.00,700
1738591317,676.76,674.00,700
1738591376,676.76,674.00,700
1738591435,676.76,674.00,700
1738591497,676.76,674.00,700
1738591539,676.76,674.00,700
1738591610,676.76,674.00,700
1738591678,676.76,674.00,700
1738591729,676.76,676.40,701
1738591785,676.76,676.40,701
1738591831,676.76,676.40,701
1738591919,676.76,676.40,701
1738591979,676.76,676.40,701
1738592039,676.76,676.40,701
1738592096,676.76,676.40,701
1738592151,676.76,676.40,701
1738592217,676.76,676.40,701
1738592267,676.76,676.40,701
1738592334,676.76,676.40,701
1738592390,676.76,676.40,701
1738592459,676.76,676.40,701
1738592509,676.76,676.40,701
1738592579,676.76,676.40,701
1738592639,676.76,676.40,701
1738592686,676.76,676.40,701
1738592757,676.76,676.40,701
1738592818,676.76,676.40,701
1738592877,676.76,676.40,701
1738592938,676.76,676.40,701
1738592999,676.76,676.40,701
1738593058,676.76,676.40,701
1738593119,676.76,676.40,701
1738593179,676.76,676.40,701
1738593239,676.76,676.40,701
1738593299,676.76,676.40,701
1738593359,676.76,676.40,701
1738593416,676.76,676.40,701
1738593477,676.76,676.40,701
1738593532,676.79,679.95,706
1738593560,676.79,679.95,706
1738593658,676.79,679.95,706
1738593718,676.79,679.95,706
1738593744,676.79,679.95,706
1738593839,676.80,678.90,710
1738593899,676.80,678.90,710
1738593925,676.80,678.90,710
1738594019,676.80,678.90,710
1738594075,676.80,678.90,710
1738594139,676.80,678.90,710
1738594199,676.80,678.90,710
1738594250,676.80,678.90,710
1738594319,676.80,678.90,710
1738594378,676.80,678.90,710
1738594438,676.80,678.90,710
1738594497,676.80,678.90,710
1738594559,676.80,680.50,711
1738594619,676.80,680.50,711
1738594668,676.80,680.50,711
1738594727,676.80,680.50,711
1738594789,676.80,680.50,711
1738594855,676.80,680.50,711
1738594919,676.81,680.50,712
1738594974,676.81,680.50,712
1738595039,676.81,680.50,712
1738595094,676.81,680.50,712
1738595147,677.00,682.10,740
1738595206,677.00,682.10,740
1738595275,677.00,682.10,740
1738595338,677.00,682.10,740
1738595392,677.00,682.10,740
1738595437,677.00,682.10,740
1738595518,677.00,682.10,740
1738595579,677.00,682.10,740
1738595612,677.00,682.10,740
1738595693,677.00,682.10,740
1738595754,677.00,682.10,740
1738595819,676.97,674.85,760
1738595870,677.03,679.45,781
1738595939,677.03,679.45,781
1738595997,677.03,679.45,781
1738596056,677.03,679.45,781
1738596118,677.03,679.45,781
1738596176,677.03,679.45,781
1738596239,677.03,679.45,781
1738596299,677.04,680.55,782
1738596349,677.04,680.55,782
1738596419,677.04,680.55,782
1738596474,677.04,680.55,782
1738596519,677.04,680.25,784
1738596595,677.04,680.25,784
1738596603,677.04,680.25,784
1738596675,677.04,680.25,784
1738597200,677.04,680.25,784
1738598400,677.04,680.25,784
1738598482,677.04,680.25,784
1738574398,680.13,680.30,8
1738574459,679.54,677.95,11
1738574516,679.54,677.95,11
1738574579,679.54,677.95,11
1738574636,679.54,677.95,11
1738574696,676.51,674.15,24
1738574759,676.06,678.05,79
1738574819,676.21,680.85,82
1738574876,676.27,681.40,83
1738574938,676.48,679.80,88
1738574993,676.48,679.80,88
1738575058,676.53,680.75,89
1738575116,676.65,679.70,92
1738575171,676.93,679.80,102
1738575227,677.00,678.85,106
1738575296,677.01,676.95,115
1738575359,677.02,678.15,116
1738575419,677.02,677.20,118
1738575479,675.58,675.00,418
1738575536,675.58,675.00,418
1738575598,675.58,675.00,418
1738575659,675.68,678.55,435
1738575719,675.84,679.15,457
1738575778,675.84,679.15,457
1738575834,675.84,679.15,457
1738575899,675.84,679.15,457
1738575959,675.84,679.25,458
1738576010,675.84,679.25,458
1738576079,675.84,679.25,458
1738576139,675.84,679.25,458
1738576199,675.84,679.25,458
1738576258,675.84,679.25,458
1738576314,676.19,680.95,492
1738576376,676.21,680.55,495
1738576437,676.21,680.55,495
1738576497,676.21,680.55,495
1738576557,676.21,680.55,495
1738576619,676.21,680.55,495
1738576671,676.21,680.55,495
1738576731,676.24,678.85,499
1738576797,676.24,678.85,499
1738576857,676.24,678.85,499
1738576919,676.33,679.80,512
1738576948,676.33,679.80,512
1738577036,676.33,679.80,512
1738577097,676.33,679.80,512
1738577159,676.33,679.80,512
1738577216,676.33,679.80,512
1738577277,676.44,680.35,528
1738577337,676.46,679.10,531
1738577394,676.46,677.75,533
1738577459,676.46,677.75,533
1738577519,676.46,678.10,534
1738577579,676.46,678.10,534
1738577639,676.46,678.10,534
1738577698,676.46,678.10,534
1738577759,676.47,677.80,536
1738577819,676.47,677.80,536
1738577878,676.47,677.80,536
1738577935,676.47,677.80,536
1738577999,676.55,678.95,556
1738578059,676.55,678.95,556
1738578118,676.55,678.95,556
1738578177,676.55,678.95,556
1738578238,676.55,678.95,556
1738578297,676.55,678.95,556
1738578359,676.55,678.95,556
1738578419,676.55,678.95,556
1738578479,676.56,677.95,561
1738578538,676.56,677.95,561
1738578598,676.56,677.95,561
1738578658,676.56,677.95,561
1738578718,676.56,677.95,561
1738578778,676.56,676.05,564
1738578838,676.56,676.05,564
1738578898,676.56,676.05,564
1738578959,676.56,677.50,565
1738579018,676.56,677.50,565
1738579079,676.56,677.50,565
1738579139,676.56,677.50,565
1738579199,676.56,677.50,565
1738579259,676.56,677.50,565
1738579315,676.56,677.50,565
1738579379,676.56,677.50,565
1738579404,676.56,677.50,565
1738579499,676.56,677.50,565
1738579557,676.56,677.50,565
1738579618,676.56,677.50,565
1738579678,676.56,677.50,565
1738579735,676.56,677.50,565
1738579796,676.56,677.50,565
1738579855,676.56,677.50,565
1738579916,676.56,677.50,565
1738579977,676.56,677.50,565
1738580037,676.56,677.50,565
1738580099,676.56,677.50,565
1738580159,676.56,677.50,565
1738580219,676.56,677.50,565
1738580270,676.56,677.50,565
1738580334,676.56,677.50,565
1738580398,676.77,679.05,615
1738580457,676.77,679.05,615
1738580517,676.77,679.05,615
1738580577,676.77,679.05,615
1738580609,676.77,679.05,615
1738580698,676.77,679.05,615
1738580758,676.77,679.05,615
1738580816,676.77,679.05,615
1738580877,676.77,679.05,615
1738580939,676.77,679.05,615
1738580999,676.77,679.05,615
1738581025,676.77,679.05,615
1738581112,676.77,679.05,615
1738581155,676.77,679.05,615
1738581231,676.77,679.05,615
1738581342,676.77,679.05,615
1738581411,676.77,679.05,615
1738581475,676.77,679.05,615
1738581538,676.77,679.05,615
1738581595,676.77,679.05,615
1738581654,676.77,679.05,615
1738581719,676.77,679.05,615
1738581773,676.77,679.05,615
1738581828,676.77,679.05,615
1738581890,676.77,679.05,615
1738581957,676.77,679.05,615
1738582019,676.77,679.05,615
1738582079,676.77,679.05,615
1738582139,676.77,679.05,615
1738582192,676.77,679.05,615
1738582259,676.77,679.05,615
1738582313,676.77,679.05,615
1738582378,676.77,679.05,615
1738582417,676.77,679.05,615
1738582483,676.77,679.05,615
1738582559,676.77,679.05,615
1738582617,676.77,679.05,615
1738582672,676.77,679.05,615
1738582739,676.77,679.05,615
1738582786,676.77,679.05,615
1738582854,676.77,679.05,615
1738582909,676.77,679.05,615
1738582977,676.77,679.05,615
1738583027,676.77,679.05,615
1738583087,676.77,679.05,615
1738583158,676.77,679.05,615
1738583216,676.77,679.05,615
1738583279,676.77,679.05,615
1738583339,676.77,679.05,615
1738583397,676.77,679.05,615
1738583457,676.77,679.05,615
1738583518,676.77,679.05,615
1738583579,676.77,679.05,615
1738583614,676.77,679.05,615
1738583680,676.77,679.05,615
1738583747,676.77,679.05,615
1738583818,676.77,679.05,615
1738583865,676.77,679.05,615
1738583938,676.77,679.05,615
1738583999,676.77,679.05,615
1738584056,676.77,679.05,615
1738584119,676.77,679.05,615
1738584179,676.77,679.05,615
1738584222,676.77,679.05,615
1738584298,676.77,679.05,615
1738584354,676.77,679.05,615
1738584410,676.77,679.05,615
1738584459,676.77,679.05,615
1738584539,676.77,679.05,615
1738584587,676.77,679.05,615
1738584642,676.77,679.05,615
1738584717,676.77,679.05,615
1738584778,676.77,679.05,615
1738584831,676.77,679.05,615
1738584899,676.77,679.05,615
1738584940,676.77,679.05,615
1738585019,676.77,679.05,615
1738585076,676.77,679.05,615
1738585136,676.77,679.05,615
1738585199,676.87,678.05,665
1738585256,676.87,678.05,665
1738585305,676.87,678.05,665
1738585378,676.87,678.05,665
1738585438,676.87,678.05,665
1738585498,676.87,678.05,665
1738585558,676.87,678.05,665
1738585613,676.87,678.05,665
1738585677,676.87,678.05,665
1738585739,676.86,676.05,672
1738585780,676.86,676.05,672
1738585859,676.86,676.05,672
1738585919,676.86,676.05,672
1738585977,676.86,676.05,672
1738586031,676.86,676.05,672
1738586096,676.86,676.05,672
1738586158,676.78,674.35,695
1738586218,676.78,674.35,695
1738586279,676.78,674.35,695
1738586337,676.78,674.35,695
1738586385,676.78,674.35,695
1738586443,676.78,674.35,695
1738586511,676.78,674.35,695
1738586579,676.78,674.35,695
1738586639,676.78,674.35,695
1738586697,676.78,674.35,695
1738586758,676.78,674.35,695
1738586818,676.78,674.35,695
1738586878,676.78,674.35,695
1738586938,676.76,674.00,700
1738586996,676.76,674.00,700
1738587052,676.76,674.00,700
1738587119,676.76,674.00,700
1738587179,676.76,674.00,700
1738587239,676.76,674.00,700
1738587298,676.76,674.00,700
1738587359,676.76,674.00,700
1738587417,676.76,674.00,700
1738587479,676.76,674.00,700
1738587538,676.76,674.00,700
1738587598,676.76,674.00,700
1738587659,676.76,674.00,700
1738587718,676.76,674.00,700
1738587779,676.76,674.00,700
1738587839,676.76,674.00,700
1738587899,676.76,674.00,700
1738587958,676.76,674.00,700
1738588019,676.76,674.00,700
1738588079,676.76,674.00,700
1738588136,676.76,674.00,700
1738588199,676.76,674.00,700
1738588251,676.76,674.00,700
1738588296,676.76,674.00,700
1738588378,676.76,674.00,700
1738588390,676.76,674.00,700
1738588467,676.76,674.00,700
1738588551,676.76,674.00,700
1738588617,676.76,674.00,700
1738588675,676.76,674.00,700
1738588739,676.76,674.00,700
1738588798,676.76,674.00,700
1738588828,676.76,674.00,700
1738588919,676.76,674.00,700
1738588979,676.76,674.00,700
1738589032,676.76,674.00,700
1738589088,676.76,674.00,700
1738589135,676.76,674.00,700
1738589216,676.76,674.00,700
1738589269,676.76,674.00,700
1738589328,676.76,674.00,700
1738589399,676.76,674.00,700
1738589453,676.76,674.00,700
1738589508,676.76,674.00,700
1738589579,676.76,674.00,700
1738589637,676.76,674.00,700
1738589676,676.76,674.00,700
1738589737,676.76,674.00,700
1738589816,676.76,674.00,700
1738589846,676.76,674.00,700
1738589902,676.76,674.00,700
1738589978,676.76,674.00,700
1738590058,676.76,674.00,700
1738590119,676.76,674.00,700
1738590175,676.76,674.00,700
1738590227,676.76,674.00,700
1738590299,676.76,674.00,700
1738590330,676.76,674.00,700
1738590410,676.76,674.00,700
1738590479,676.76,674.00,700
1738590531,676.76,674.00,700
1738590597,676.76,674.00,700
1738590658,676.76,674.00,700
1738590707,676.76,674.00,700
1738590778,676.76,674.00,700
1738590839,676.76,674.00,700
1738590899,676.76,674.00,700
1738590939,676.76,674.00,700
1738590980,676.76,674.00,700
1738591065,676.76,674.00,700
1738591111,676.76,674.00,700
1738591199,676.76,674.00,700
1738591250,676.76,674.00,700
1738591317,676.76,674.00,700
1738591376,676.76,674.00,700
1738591435,676.76,674.00,700
1738591497,676.76,674.00,700
1738591539,676.76,674.00,700
1738591610,676.76,674.00,700
1738591678,676.76,674.00,700
1738591729,676.76,676.40,701
1738591785,676.76,676.40,701
1738591831,676.76,676.40,701
1738591919,676.76,676.40,701
1738591979,676.76,676.40,701
1738592039,676.76,676.40,701
1738592096,676.76,676.40,701
1738592151,676.76,676.40,701
1738592217,676.76,676.40,701
1738592267,676.76,676.40,701
1738592334,676.76,676.40,701
1738592390,676.76,676.40,701
1738592459,676.76,676.40,701
1738592509,676.76,676.40,701
1738592579,676.76,676.40,701
1738592639,676.76,676.40,701
1738592686,676.76,676.40,701
1738592757,676.76,676.40,701
1738592818,676.76,676.40,701
1738592877,676.76,676.40,701
1738592938,676.76,676.40,701
1738592999,676.76,676.40,701
1738593058,676.76,676.40,701
1738593119,676.76,676.40,701
1738593179,676.76,676.40,701
1738593239,676.76,676.40,701
1738593299,676.76,676.40,701
1738593359,676.76,676.40,701
1738593416,676.76,676.40,701
1738593477,676.76,676.40,701
1738593532,676.79,679.95,706
1738593560,676.79,679.95,706
1738593658,676.79,679.95,706
1738593718,676.79,679.95,706
1738593744,676.79,679.95,706
1738593839,676.80,678.90,710
1738593899,676.80,678.90,710
1738593925,676.80,678.90,710
1738594019,676.80,678.90,710
1738594075,676.80,678.90,710
1738594139,676.80,678.90,710
1738594199,676.80,678.90,710
1738594250,676.80,678.90,710
1738594319,676.80,678.90,710
1738594378,676.80,678.90,710
1738594438,676.80,678.90,710
1738594497,676.80,678.90,710
1738594559,676.80,680.50,711
1738594619,676.80,680.50,711
1738594668,676.80,680.50,711
1738594727,676.80,680.50,711
1738594789,676.80,680.50,711
1738594855,676.80,680.50,711
1738594919,676.81,680.50,712
1738594974,676.81,680.50,712
1738595039,676.81,680.50,712
1738595094,676.81,680.50,712
1738595147,677.00,682.10,740
1738595206,677.00,682.10,740
1738595275,677.00,682.10,740
1738595338,677.00,682.10,740
1738595392,677.00,682.10,740
1738595437,677.00,682.10,740
1738595518,677.00,682.10,740
1738595579,677.00,682.10,740
1738595612,677.00,682.10,740
1738595693,677.00,682.10,740
1738595754,677.00,682.10,740
1738595819,676.97,674.85,760
1738595870,677.03,679.45,781
1738595939,677.03,679.45,781
1738595997,677.03,679.45,781
1738596056,677.03,679.45,781
1738596118,677.03,679.45,781
1738596176,677.03,679.45,781
1738596239,677.03,679.45,781
1738596299,677.04,680.55,782
1738596349,677.04,680.55,782
1738596419,677.04,680.55,782
1738596474,677.04,680.55,782
1738596519,677.04,680.25,784
1738596595,677.04,680.25,784
1738596603,677.04,680.25,784
1738596675,677.04,680.25,784
1738597200,677.04,680.25,784
1738598400,677.04,680.25,784
1738598482,677.04,680.25,784
